structgrade,structsize,structtype,structid,structpartsto,chstructgrpkey,chstructkey
Weak,Fine,Subangular blocky,NA,NA,27487961,33615294
Weak,Fine,Subangular blocky,NA,NA,27488013,33615346
Weak,Medium,Subangular blocky,NA,NA,27488014,33615347
Weak,Fine,Granular,NA,NA,27488015,33615348
Moderate,Medium,Subangular blocky,NA,NA,27488134,33615470
,,Massive,NA,NA,27488267,33615605
,,Massive,NA,NA,27488345,33615686
Weak,Fine,Subangular blocky,NA,NA,27487958,33615291
Moderate,Fine,Subangular blocky,NA,NA,27487959,33615292
Weak,Medium,Subangular blocky,NA,NA,27487960,33615293
Weak,Fine,Subangular blocky,NA,NA,27488012,33615345
Weak,Fine,Subangular blocky,NA,NA,27488346,33615687
Weak,Fine,Granular,NA,NA,27488347,33615688
Weak,Medium,Subangular blocky,NA,NA,27488348,33615689
Weak,Fine,Granular,NA,NA,27488403,33615746
Weak,Fine,Subangular blocky,NA,NA,27488404,33615747
Weak,Very fine,Granular,NA,NA,27488405,33615748
Weak,Fine,Subangular blocky,NA,NA,27488649,33615997
,,Cloddy,NA,NA,27488650,33615998
Weak,Fine,Subangular blocky,NA,NA,27488651,33615999
Weak,Fine,Prismatic,NA,NA,27488652,33616000
,,Massive,NA,NA,27488402,33615745
Weak,Fine,Subangular blocky,NA,NA,27488406,33615749
Weak,Medium,Subangular blocky,NA,NA,27488407,33615750
Weak,Fine,Subangular blocky,NA,NA,27488457,33615802
Moderate,Fine,Subangular blocky,NA,NA,27488458,33615803
Weak,Medium,Subangular blocky,NA,NA,27488459,33615804
Weak,Fine,Subangular blocky,NA,NA,27488504,33615849
Weak,Medium,Subangular blocky,NA,NA,27488505,33615850
Moderate,Fine,Subangular blocky,NA,NA,27488506,33615851
Weak,Fine,Subangular blocky,NA,NA,27488933,33616291
Weak,Fine,Subangular blocky,NA,NA,27488951,33616310
Weak,Fine,Subangular blocky,NA,NA,27488964,33616323
,,Cloddy,NA,NA,27488965,33616324
Weak,Medium,Subangular blocky,NA,NA,27488966,33616325
Weak,Very fine,Granular,NA,NA,27488997,33616356
Weak,Fine,Subangular blocky,NA,NA,27488998,33616357
Weak,Fine,Granular,NA,NA,27488999,33616358
Weak,Fine,Subangular blocky,NA,NA,27489152,33616517
Weak,Medium,Subangular blocky,NA,NA,27488130,33615466
Weak,Medium,Granular,NA,NA,27488131,33615467
Weak,Fine,Subangular blocky,NA,NA,27488278,33615617
Weak,Medium,Subangular blocky,NA,NA,27488279,33615618
Weak,Fine,Subangular blocky,NA,NA,27488132,33615468
Moderate,Medium,Subangular blocky,NA,NA,27488133,33615469
,,Massive,NA,NA,27488160,33615496
Weak,Fine,Subangular blocky,NA,NA,27488161,33615497
Weak,Fine,Subangular blocky,NA,NA,27488162,33615498
Weak,Fine,Granular,NA,NA,27488163,33615499
Weak,Medium,Subangular blocky,NA,NA,27488164,33615500
Weak,Fine,Subangular blocky,NA,NA,27488165,33615501
Weak,Medium,Subangular blocky,NA,NA,27488166,33615502
Moderate,Fine,Subangular blocky,NA,NA,27488167,33615503
,,Massive,NA,NA,27488328,33615669
,,Massive,NA,NA,27488408,33615751
Weak,Fine,Subangular blocky,NA,NA,27488503,33615848
Weak,Fine,Subangular blocky,NA,NA,27488661,33616009
Moderate,Medium,Subangular blocky,NA,NA,27488662,33616010
,,Massive,NA,NA,27488944,33616303
Weak,Fine,Subangular blocky,NA,NA,27488945,33616304
Moderate,Fine,Subangular blocky,NA,NA,27488946,33616305
Weak,Medium,Subangular blocky,NA,NA,27488947,33616306
,,Massive,NA,NA,27488963,33616322
,,Massive,NA,NA,27489000,33616359
Weak,Fine,Subangular blocky,NA,NA,27489153,33616518
Weak,Medium,Subangular blocky,NA,NA,27489154,33616519
Moderate,Fine,Subangular blocky,NA,NA,27489155,33616520
Weak,Fine,Subangular blocky,NA,NA,27488948,33616307
Moderate,Fine,Subangular blocky,NA,NA,27488949,33616308
Weak,Medium,Subangular blocky,NA,NA,27488950,33616309
Weak,Very fine,Subangular blocky,NA,NA,27489208,33616574
Weak,Fine,Subangular blocky,NA,NA,27489209,33616575
,,Massive,NA,NA,27489249,33616617
