cokey,mrulekey,mrulename,seqnum,rulekey,rulename,ruledepth,interpll,interpllc,interplr,interplrc,interphr,interphrc,interphh,interphhc,nullpropdatabool,defpropdatabool,incpropdatabool,cointerpkey
17607989,24388,AWM - Irrigation Disposal of Wastewater,0,24388,AWM - Irrigation Disposal of Wastewater,0,0.68,Somewhat limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1498454746
17607989,24388,AWM - Irrigation Disposal of Wastewater,1,240,Slope 2.9 to > 8% surface,1,0.68,Too steep for surface application,1,Too steep for surface application,1,Too steep for surface application,1,Too steep for surface application,0,0,0,1498454747
17607989,24388,AWM - Irrigation Disposal of Wastewater,2,10185,Slope 5.9 to > 15% sprinkler,1,0,No steepness limitation,0.099,Too steep for sprinkler application,0.099,Too steep for sprinkler application,0.395,Too steep for sprinkler application,0,0,0,1498454748
17607989,235,AWM - Land Application of Municipal Sewage Sludge,0,235,AWM - Land Application of Municipal Sewage Sludge,0,0,Not limited,0,Not limited,0,Not limited,0.962,Somewhat limited,0,0,0,1498454749
17607989,205,AWM - Manure and Food Processing Waste,0,205,AWM - Manure and Food Processing Waste,0,0,Not limited,0,Not limited,0,Not limited,1,Very limited,0,0,0,1498454750
17607989,258,AWM - Overland Flow Process Treatment of Wastewater,0,258,AWM - Overland Flow Process Treatment of Wastewater,0,0.036,Somewhat limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1498454751
17607989,258,AWM - Overland Flow Process Treatment of Wastewater,1,255,Seepage Limitation (1 - 4 um/sec) Surface Layer,1,0.036,Seepage,1,Seepage,1,Seepage,1,Seepage,0,0,0,1498454752
17607989,258,AWM - Overland Flow Process Treatment of Wastewater,2,10211,Slope 5.9 to > 12% surface,1,0,No steepness limitation,0.222,Too steep for surface application,0.222,Too steep for surface application,0.778,Too steep for surface application,0,0,0,1498454753
17607989,238,AWM - Rapid Infiltration Disposal of Wastewater,0,238,AWM - Rapid Infiltration Disposal of Wastewater,0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1498454754
17607989,238,AWM - Rapid Infiltration Disposal of Wastewater,1,290,"Wet, Ground Water Within 180 cm of the Surface",1,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,0,0,0,1498454755
