param_id,param_apsim,value,group_id,set_id,set_script,set_pdes,set_pcat,do_manually
1,startStage,1,kill,1,no scripts,no scripts,no scripts,Y
2,endStage,3.5,kill,1,no scripts,no scripts,no scripts,Y
3,maxLayer,3,kill,1,no scripts,no scripts,no scripts,Y
4,moistLim,2,kill,1,no scripts,no scripts,no scripts,Y
5,tempLim,2,kill,1,no scripts,no scripts,no scripts,Y
6,xMoistString,"0, 0.5, 1, 1.5, 2",kill,1,no scripts,no scripts,no scripts,Y
7,yMoistString,"0, 0, 0, 0, 0",kill,1,no scripts,no scripts,no scripts,Y
8,xTempString,"-3.5, 0",kill,1,no scripts,no scripts,no scripts,Y
9,yTempString,"0, 0",kill,1,no scripts,no scripts,no scripts,Y
10,moistDaysBefore,14,rue,1,no scripts,no scripts,no scripts,Y
11,moistDaysAfter,1,rue,1,no scripts,no scripts,no scripts,Y
12,moistMaxLayers,2,rue,1,no scripts,no scripts,no scripts,Y
13,coldStage,4,rue,1,no scripts,no scripts,no scripts,Y
14,coldTT,4,rue,1,no scripts,no scripts,no scripts,Y
15,xSurfaceOMString,"0,2500,10000",rue,1,no scripts,no scripts,no scripts,Y
16,ySurfaceOMString,"1, 1, 1",rue,1,no scripts,no scripts,no scripts,Y
17,xMoistureString,"0,1,2",rue,1,no scripts,no scripts,no scripts,Y
18,yMoistureString,"1, 1, 1",rue,1,no scripts,no scripts,no scripts,Y
19,xTTString,"0,15,100",rue,1,no scripts,no scripts,no scripts,Y
20,yTTString,"1, 1, 1",rue,1,no scripts,no scripts,no scripts,Y
21,moistDaysBefore,14,xf,1,no scripts,no scripts,no scripts,Y
22,moistDaysAfter,1,xf,1,no scripts,no scripts,no scripts,Y
23,moistMaxLayers,2,xf,1,no scripts,no scripts,no scripts,Y
24,coldStage,4,xf,1,no scripts,no scripts,no scripts,Y
25,coldTT,4,xf,1,no scripts,no scripts,no scripts,Y
26,xSurfaceOMString,"0,2500,10000",xf,1,no scripts,no scripts,no scripts,Y
27,ySurfaceOMString,"1, 1, 1",xf,1,no scripts,no scripts,no scripts,Y
28,xMoistureString,"0,1,2",xf,1,no scripts,no scripts,no scripts,Y
29,yMoistureString,"1, 1, 1",xf,1,no scripts,no scripts,no scripts,Y
30,xTTString,"0,15,100",xf,1,no scripts,no scripts,no scripts,Y
31,yTTString,"1, 1, 1",xf,1,no scripts,no scripts,no scripts,Y
1,startStage,1,kill,1002,kill,"1.5-2 wet kill, 3%",wet,N
2,endStage,3.5,kill,1002,kill,"1.5-2 wet kill, 3%",wet,N
3,maxLayer,3,kill,1002,kill,"1.5-2 wet kill, 3%",wet,N
4,moistLim,2,kill,1002,kill,"1.5-2 wet kill, 3%",wet,N
5,tempLim,2,kill,1002,kill,"1.5-2 wet kill, 3%",wet,N
6,xMoistString,"0, 0.5, 1.5, 2",kill,1002,kill,"1.5-2 wet kill, 3%",wet,N
7,yMoistString,"0, 0, 0, 0.03",kill,1002,kill,"1.5-2 wet kill, 3%",wet,N
8,xTempString,"-3.5, 0",kill,1002,kill,"1.5-2 wet kill, 3%",wet,N
9,yTempString,"0, 0",kill,1002,kill,"1.5-2 wet kill, 3%",wet,N
