featkind,featdept.l,featdept.r,featdept.h,featdepb.l,featdepb.r,featdepb.h,featthick.l,featthick.r,featthick.h,cokey,codiagfeatkey
Mollic epipedon,0,0,0,25,48,49,25,48,49,17587842,8531030
Cambic horizon,25,48,49,84,140,164,59,92,115,17587842,8531031
Mollic epipedon,0,0,0,40,60,60,40,60,60,17587843,8531041
Cambic horizon,40,60,60,200,200,200,140,140,160,17587843,8531042
Mollic epipedon,0,0,0,25,48,69,25,48,69,17587844,8531032
Cambic horizon,25,48,69,65,115,200,40,67,131,17587844,8531033
Mollic epipedon,0,0,0,25,36,43,25,36,43,17587845,8531034
Cambic horizon,25,46,56,53,79,102,28,33,46,17587845,8531035
Argillic horizon,53,79,102,104,160,193,51,81,91,17587845,8531036
Cambic horizon,40,48,50,100,135,203,60,87,153,17587846,8531037
Mollic epipedon,0,0,0,40,48,50,41,48,50,17587846,8531038
Mollic epipedon,0,0,0,35,48,67,35,48,67,17587852,8530905
Cambic horizon,35,48,67,85,117,177,50,69,110,17587852,8530906
Redox concentrations,30,61,75,200,200,200,125,139,170,17587852,8530907
Reduced matrix,27,48,61,200,200,200,139,152,173,17587852,8530908
Free carbonates,84,117,122,200,200,200,78,83,116,17587852,8530909
Mollic epipedon,0,0,0,36,46,60,36,46,60,17587853,8530910
Cambic horizon,36,46,60,81,97,155,45,51,95,17587853,8530911
Redox concentrations,30,36,60,200,200,200,140,164,170,17587853,8530912
Reduced matrix,36,46,60,200,200,200,140,154,164,17587853,8530913
Free carbonates,81,97,155,200,200,200,45,103,119,17587853,8530914
