cokey,mrulekey,mrulename,seqnum,rulekey,rulename,ruledepth,interpll,interpllc,interplr,interplrc,interphr,interphrc,interphh,interphhc,nullpropdatabool,defpropdatabool,incpropdatabool,cointerpkey
18663930,24388,AWM - Irrigation Disposal of Wastewater,0,24388,AWM - Irrigation Disposal of Wastewater,0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1527152119
18663930,24388,AWM - Irrigation Disposal of Wastewater,1,240,Slope 2.9 to > 8% surface,1,1,Too steep for surface application,1,Too steep for surface application,1,Too steep for surface application,1,Too steep for surface application,0,0,0,1527152120
18663930,24388,AWM - Irrigation Disposal of Wastewater,2,10185,Slope 5.9 to > 15% sprinkler,1,0.975,Too steep for sprinkler application,1,Too steep for sprinkler application,1,Too steep for sprinkler application,1,Too steep for sprinkler application,0,0,0,1527152121
18663930,24388,AWM - Irrigation Disposal of Wastewater,3,236,Surface Reaction (pH 5 to 6.5),1,0,No acidity limitation,0.309,Too acid,0.309,Too acid,0.669,Too acid,0,0,0,1527152122
18663930,24388,AWM - Irrigation Disposal of Wastewater,4,202,Percolation (1 - 4 um/sec) 0 to 60 Inches,1,0,Ksat not restrictive,0.219,Slow water movement,0.219,Slow water movement,1,Slow water movement,0,0,0,1527152123
18663930,235,AWM - Land Application of Municipal Sewage Sludge,0,235,AWM - Land Application of Municipal Sewage Sludge,0,0.959,Somewhat limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1527152124
18663930,235,AWM - Land Application of Municipal Sewage Sludge,1,10192,Slope 8 to > 15%,1,0.959,Slope,1,Slope,1,Slope,1,Slope,0,0,0,1527152125
18663930,235,AWM - Land Application of Municipal Sewage Sludge,2,236,Surface Reaction (pH 5 to 6.5),1,0,No acidity limitation,0.309,Too acid,0.309,Too acid,0.669,Too acid,0,0,0,1527152126
18663930,235,AWM - Land Application of Municipal Sewage Sludge,3,202,Percolation (1 - 4 um/sec) 0 to 60 Inches,1,0,Ksat not restrictive,0.219,Slow water movement,0.219,Slow water movement,1,Slow water movement,0,0,0,1527152127
18663930,205,AWM - Manure and Food Processing Waste,0,205,AWM - Manure and Food Processing Waste,0,0.959,Somewhat limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1527152128
18663930,205,AWM - Manure and Food Processing Waste,1,10192,Slope 8 to > 15%,1,0.959,Slope,1,Slope,1,Slope,1,Slope,0,0,0,1527152129
18663930,205,AWM - Manure and Food Processing Waste,2,10265,Percolation < 2 um/sec to 60 Inches,1,0,Ksat not restrictive,0.296,Slow water movement,0.296,Slow water movement,1,Slow water movement,0,0,0,1527152130
18663930,205,AWM - Manure and Food Processing Waste,3,227,Surface Reaction (pH 3.5 to 6.5),1,0,No acidity limitation,0.078,Too acid,0.078,Too acid,0.177,Too acid,0,0,0,1527152131
18663930,258,AWM - Overland Flow Process Treatment of Wastewater,0,258,AWM - Overland Flow Process Treatment of Wastewater,0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1527152132
18663930,258,AWM - Overland Flow Process Treatment of Wastewater,1,10211,Slope 5.9 to > 12% surface,1,1,Too steep for surface application,1,Too steep for surface application,1,Too steep for surface application,1,Too steep for surface application,0,0,0,1527152133
